goos: linux
goarch: amd64
pkg: routerbench
cpu: 13th Gen Intel(R) Core(TM) i7-13700H
BenchmarkParallel/static/fiber-http-20              	 1224315	       301.0 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/static/fiber-http-20              	 1000000	       303.5 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/static/fiber-http-20              	 1207684	       294.3 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/static/fiber-http-20              	 1240509	       299.3 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/static/fiber-http-20              	 1204231	       298.1 ns/op	     696 B/op	      10 allocs/op
BenchmarkParallel/param/stdlib-20                   	 4719284	        78.03 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/stdlib-20                   	 4528461	        78.99 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/stdlib-20                   	 4471542	        79.65 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/stdlib-20                   	 4506672	        78.40 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/stdlib-20                   	 4603732	        78.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/stdlib-20                   	 4260562	        81.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/compat-20                   	 4423689	        82.17 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/compat-20                   	 4482232	        82.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/compat-20                   	 4431466	        83.44 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/compat-20                   	 4446393	        83.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/compat-20                   	 4324578	        81.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/compat-20                   	 4519714	        83.33 ns/op	      16 B/op	       1 allocs/op
BenchmarkParallel/param/mux-20                      	84602508	         5.868 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-20                      	66761776	         5.777 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-20                      	71487733	         5.777 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-20                      	68649046	         5.638 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-20                      	67503003	         5.774 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-20                      	67203498	         5.848 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-plain-20                	62118606	         5.690 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-plain-20                	65195032	         5.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-plain-20                	64472187	         5.706 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-plain-20                	65198894	         5.699 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-plain-20                	69577196	         5.653 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/mux-plain-20                	64788495	         5.762 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/chi-20                      	 1532864	       228.3 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/param/chi-20                      	 1582438	       230.8 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/param/chi-20                      	 1574175	       229.1 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/param/chi-20                      	 1621147	       230.6 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/param/chi-20                      	 1580641	       222.4 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/param/chi-20                      	 1611232	       233.8 ns/op	     704 B/op	       4 allocs/op
BenchmarkParallel/param/httprouter-20               	12517156	        29.98 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/param/httprouter-20               	10785892	        28.64 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/param/httprouter-20               	12361022	        30.98 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/param/httprouter-20               	12594003	        32.27 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/param/httprouter-20               	12135582	        28.95 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/param/httprouter-20               	12741074	        29.31 ns/op	      96 B/op	       1 allocs/op
BenchmarkParallel/param/httprouter-http-20          	 2386618	       150.9 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/param/httprouter-http-20          	 2414160	       148.9 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/param/httprouter-http-20          	 2357020	       148.2 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/param/httprouter-http-20          	 2400969	       150.5 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/param/httprouter-http-20          	 2381640	       151.6 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/param/httprouter-http-20          	 2422029	       146.0 ns/op	     488 B/op	       4 allocs/op
BenchmarkParallel/param/gin-20                      	56553408	         6.345 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-20                      	57533847	         6.678 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-20                      	62605940	         6.511 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-20                      	63248594	         6.291 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-20                      	54853606	         6.449 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-20                      	51593930	         6.224 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-http-20                 	55018761	         6.540 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-http-20                 	55573196	         6.821 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-http-20                 	57163970	         6.596 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-http-20                 	56795583	         6.844 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-http-20                 	56595043	         6.480 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/gin-http-20                 	57635595	         6.494 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-20                     	61390870	         6.612 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-20                     	55701117	         6.477 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-20                     	62763332	         6.509 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-20                     	61674873	         6.557 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-20                     	59659651	         6.577 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-20                     	63439017	         6.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-http-20                	55909203	         6.292 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-http-20                	57608451	         6.510 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/param/echo-http-20                	60247476	         6.571 ns/op	       0 B/op	       0 allocs/op
